algorithm;fitness
AlgorithmA;0.778856461560548
AlgorithmD;0.7302634375186877
AlgorithmE;0.6644856389695443
AlgorithmB;0.7427751148246451
AlgorithmC;0.7303457494791158
AlgorithmA;0.7765790288483327
AlgorithmD;0.7305742490854198
AlgorithmE;0.6717036792812228
AlgorithmB;0.7452752221382201
AlgorithmC;0.7313330879541974
AlgorithmA;0.7794545752021399
AlgorithmD;0.7305786666719407
AlgorithmE;0.6739243310340437
AlgorithmB;0.7492296391481955
AlgorithmC;0.7326879239342189
AlgorithmA;0.7776487320919491
AlgorithmD;0.7292995164111338
AlgorithmE;0.673080164816533
AlgorithmB;0.7460855856758877
AlgorithmC;0.7364409058605235
AlgorithmA;0.7777177452044405
AlgorithmD;0.7362524485815639
AlgorithmE;0.6669717861999047
AlgorithmB;0.7480256392695456
AlgorithmC;0.7313391180987788
AlgorithmA;0.7766135354045784
AlgorithmD;0.7342830922826167
AlgorithmE;0.680179365422621
AlgorithmB;0.743809854324719
AlgorithmC;0.7300653733756114
AlgorithmA;0.7763489851400281
AlgorithmD;0.7348332754127808
AlgorithmE;0.6629406847164965
AlgorithmB;0.746314310285175
AlgorithmC;0.732048120244375
AlgorithmA;0.7771541381190942
AlgorithmD;0.7327146601291654
AlgorithmE;0.6881248688141662
AlgorithmB;0.7506972616518937
AlgorithmC;0.7329952376914544
AlgorithmA;0.7787644440772262
AlgorithmD;0.7314591947463667
AlgorithmE;0.6671384516575003
AlgorithmB;0.7437509565048287
AlgorithmC;0.7374030160625177
AlgorithmA;0.7803574967572354
AlgorithmD;0.7299523972178119
AlgorithmE;0.6654579769018452
AlgorithmB;0.7466944817686749
AlgorithmC;0.7249911988317189
AlgorithmA;0.7766595441462394
AlgorithmD;0.7280678910154745
AlgorithmE;0.6739434479208412
AlgorithmB;0.7422781300849995
AlgorithmC;0.7235119903305304
AlgorithmA;0.7735654562695428
AlgorithmD;0.7288712066775348
AlgorithmE;0.6781701613967592
AlgorithmB;0.7435782528344392
AlgorithmC;0.7339422268459883
AlgorithmA;0.7716675956760299
AlgorithmD;0.7305800208265113
AlgorithmE;0.6871304623142297
AlgorithmB;0.745673520195142
AlgorithmC;0.7311596687588798
AlgorithmA;0.7810476278821491
AlgorithmD;0.7273621055158782
AlgorithmE;0.674676726625226
AlgorithmB;0.7451028586122629
AlgorithmC;0.7317824954928975
AlgorithmA;0.7785516536470446
AlgorithmD;0.7295705826896054
AlgorithmE;0.6666721343755305
AlgorithmB;0.7432108903655816
AlgorithmC;0.7266393440202772
AlgorithmA;0.7769010900399592
AlgorithmD;0.7299461189096226
AlgorithmE;0.6606964958402188
AlgorithmB;0.7418645649727451
AlgorithmC;0.729112721077877
AlgorithmA;0.7761591990806769
AlgorithmD;0.7309361082375722
AlgorithmE;0.6745661986773687
AlgorithmB;0.7471407018895649
AlgorithmC;0.7246776517532177
AlgorithmA;0.7800986975853927
AlgorithmD;0.7317220695485711
AlgorithmE;0.6683716520588986
AlgorithmB;0.7490847859852964
AlgorithmC;0.7303940584090622
AlgorithmA;0.7797881385791816
AlgorithmD;0.7332901960150753
AlgorithmE;0.6819067864436625
AlgorithmB;0.7443286007555707
AlgorithmC;0.7306119248908105
AlgorithmA;0.7760211728556942
AlgorithmD;0.7310485253670438
AlgorithmE;0.6629398386553467
AlgorithmB;0.7457523921524377
AlgorithmC;0.7299619683895838
AlgorithmA;0.7808003308957217
AlgorithmD;0.730551147128182
AlgorithmE;0.6785562692743324
AlgorithmB;0.7471487813378496
AlgorithmC;0.7252420220464386
AlgorithmA;0.7789829856001156
AlgorithmD;0.7317744245308466
AlgorithmE;0.6866100773286291
AlgorithmB;0.7456651761634561
AlgorithmC;0.7327015903810901
AlgorithmA;0.7796846189104446
AlgorithmD;0.7325465315131604
AlgorithmE;0.678626448656244
AlgorithmB;0.7473671958788966
AlgorithmC;0.7340187583044973
AlgorithmA;0.7801274530489309
AlgorithmD;0.734054771527076
AlgorithmE;0.6763810338257443
AlgorithmB;0.7459390356941301
AlgorithmC;0.7285701734719057
AlgorithmA;0.7807485710613532
AlgorithmD;0.7323854495092432
AlgorithmE;0.6778705219402106
AlgorithmB;0.746735103213585
AlgorithmC;0.7333093191595632
AlgorithmA;0.7799549202677024
AlgorithmD;0.7318406055014681
AlgorithmE;0.6863925072985909
AlgorithmB;0.7427159611444605
AlgorithmC;0.7301670440272202
AlgorithmA;0.7801619596051765
AlgorithmD;0.7346987818573064
AlgorithmE;0.6775414428212814
AlgorithmB;0.74971067757637
AlgorithmC;0.7309641151817615
AlgorithmA;0.7783388632168627
AlgorithmD;0.7262756256329432
AlgorithmE;0.6700736830161603
AlgorithmB;0.7424071979678505
AlgorithmC;0.730986271146685
AlgorithmA;0.7752907840818272
AlgorithmD;0.7320686199114077
AlgorithmE;0.6794072753546315
AlgorithmB;0.7433777301169374
AlgorithmC;0.7352596801434333
AlgorithmA;0.7805472828165868
AlgorithmD;0.7326624230448283
AlgorithmE;0.6716184895360462
AlgorithmB;0.7422284544974784
AlgorithmC;0.7287648576186835
